problem,unused,best_score
1,804,624
2,279,130
3,333,187
4,0,0
5,158,29
6,6034,2655
7,257,0
8,1040,892
9,2365,0
10,166,7
11,0,0
12,0,0
13,0,0
14,116,116
15,0,0
16,0,0
17,0,0
18,0,0
19,5318,5318
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,2423,2076
28,3216,3143
29,3114,3114
30,1837,1837
31,10457,3533
32,1894,1511
33,2362,2362
34,0,0
35,0,0
36,1444,1279
37,1683,1674
38,0,0
39,0,0
40,3768,3560
41,0,0
42,1699,1531
43,0,0
44,8706,8706
45,6411,6379
46,0,0
47,0,0
48,3617,3040
49,0,0
50,3737,3299
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,3528,3021
57,6635,4256
58,4194,2171
59,0,0
60,986,73
61,15145,12587
62,11472,2865
63,0,0
64,0,0
65,0,0
66,10106,7585
67,0,0
68,0,0
69,1976,705
70,0,0
71,34955,5230
72,0,0
73,0,0
74,58427,2383
75,0,0
76,677,0
77,0,0
78,3444,144
79,39098,17586
80,0,0
81,0,0
82,18146,33
83,12377,3349
84,0,0
85,0,0
86,5715,5354
87,46667,2536
88,11847,9908
89,86706,82795
90,2893879,0
91,23311,12777
92,60287,33754
93,0,0
94,4450,1506
95,15775,5281
96,16171,13649
97,0,0
98,55411,28409
99,11048,5803
100,9100,3423
101,9957,7581
102,103631,59868
103,105250,47952
104,21294,14650
105,0,0
106,0,0
107,62572,1315
108,35036,18274
109,4267,20
110,28056,11833
111,44292,15564
112,62244,16905
113,27211,9360
114,2384322,0
115,79859,27787
116,28756,4099
117,40685,28703
118,23711,3781
119,55273,18341
120,67633,9926
121,39503,11058
122,67294,0
123,17569,13035
124,51637,13548
125,294,0
126,888548,2141
127,18698,16597
128,40214,9853
129,18546,7992
130,10352,6470
131,49521,15748
132,85964,12851
